Prefix,Total_Columns,Has_Max_Length,Has_Length,Has_Begin_End,Has_Format,Has_Description,Has_Definition,Has_Remarks,Has_Data_Element,Has_Data_Item,Confidence_Score,Predicted_Format,Format_Indicators,Delimiter_Hints,Column_Structure
hmonthlyPS,13,True,False,False,True,True,True,False,True,False,7,DELIMITED,Max Length column; Format column; Description/Definition columns; Data Element naming,None,"Item, Data Element, Type, Max Length, Format, Description"
hmonthlyS,13,True,False,False,True,True,True,False,True,False,7,DELIMITED,Max Length column; Format column; Description/Definition columns; Data Element naming,None,"Item, Data Element, Type, Max Length, Format, Description"
hplatmonPS,13,True,False,False,True,True,True,False,True,False,7,DELIMITED,Max Length column; Format column; Description/Definition columns; Data Element naming,None,"Item, Data Element, Type, Max Length, Format, Description"
hplatmonS,13,True,False,False,True,True,True,False,True,False,7,DELIMITED,Max Length column; Format column; Description/Definition columns; Data Element naming,None,"Item, Data Element, Type, Max Length, Format, Description"
monthlySFPS,13,True,False,False,True,True,True,False,True,False,7,DELIMITED,Max Length column; Format column; Description/Definition columns; Data Element naming,None,"Item, Data Element, Type, Max Length, Format, Description"
monthlySFS,13,True,False,False,True,True,True,False,True,False,7,DELIMITED,Max Length column; Format column; Description/Definition columns; Data Element naming,None,"Item, Data Element, Type, Max Length, Format, Description"
nimonSFPS,13,True,False,False,True,True,True,False,True,False,7,DELIMITED,Max Length column; Format column; Description/Definition columns; Data Element naming,None,"Item, Data Element, Type, Max Length, Format, Description"
nimonSFS,13,True,False,False,True,True,True,False,True,False,7,DELIMITED,Max Length column; Format column; Description/Definition columns; Data Element naming,None,"Item, Data Element, Type, Max Length, Format, Description"
platmonPPS,13,True,False,False,True,True,True,False,True,False,7,DELIMITED,Max Length column; Format column; Description/Definition columns; Data Element naming,None,"Item, Data Element, Type, Max Length, Format, Description"
platmonPS,13,True,False,False,True,True,True,False,True,False,7,DELIMITED,Max Length column; Format column; Description/Definition columns; Data Element naming,None,"Item, Data Element, Type, Max Length, Format, Description"
llmonliq,12,True,False,False,True,False,True,False,True,False,6,DELIMITED,Max Length column; Format column; Data Element naming,None,"Item, Data Element, Type, Max Length, Format, Definition"
llpaymhist,12,True,False,False,True,False,True,False,True,False,6,DELIMITED,Max Length column; Format column; Data Element naming,None,"Item, Data Element, Type, Max Length, Format, Definition"
LoanPerfAnn,12,True,False,False,True,False,True,False,True,False,6,DELIMITED,Max Length column; Format column; Data Element naming,None,"Item, Data Element, Type, Max Length, Format, Definition"
LoanPerf,12,True,False,False,True,False,True,False,True,False,6,DELIMITED,Max Length column; Format column; Data Element naming,None,"Item, Data Element, Type, Max Length, Format, Definition"
mfpldailymni3,14,True,False,False,True,True,False,False,True,True,6,DELIMITED,Max Length column; Format column; Data Element naming,None,"Item, Data Item, Data Type, Format, Max Length, File"
mfplmon3,14,True,False,False,True,True,False,False,True,True,6,DELIMITED,Max Length column; Format column; Data Element naming,None,"Item, Data Item, Data Type, Format, Max Length, File"
plmonforb,12,True,False,False,True,False,True,False,True,False,6,DELIMITED,Max Length column; Format column; Data Element naming,None,"Item, Data Element, Type, Max Length, Format, Definition"
mfpldailymni2,11,True,False,False,True,False,False,False,False,True,4,DELIMITED,Max Length column; Format column; Data Item naming,None,"Item, Data Item, Data Type, Format, Max Length, File"
mfpppmon,10,True,False,False,True,False,False,False,False,True,4,DELIMITED,Max Length column; Format column; Data Item naming,None,"Item, Data Item, Data Type, Format, Max Length, File"
dailyllmni,13,False,True,True,False,False,False,True,False,True,-5,FIXED-WIDTH,Begin/End columns; Remarks column only; Data Item naming,None,"Item, Data Item, Begin, End, Type, Length"
factorA1,12,False,True,True,False,False,False,True,False,True,-5,FIXED-WIDTH,Begin/End columns; Remarks column only; Data Item naming,None,"Item, Data Item, Begin, End, Type, Length"
factorA2,12,False,True,True,False,False,False,True,False,True,-5,FIXED-WIDTH,Begin/End columns; Remarks column only; Data Item naming,None,"Item, Data Item, Begin, End, Type, Length"
factorAAdd,12,False,True,True,False,False,False,True,False,True,-5,FIXED-WIDTH,Begin/End columns; Remarks column only; Data Item naming,None,"Item, Data Item, Begin, End, Type, Length"
factorAplat,12,False,True,True,False,False,False,True,False,True,-5,FIXED-WIDTH,Begin/End columns; Remarks column only; Data Item naming,None,"Item, Data Item, Begin, End, Type, Length"
factorB1,12,False,True,True,False,False,False,True,False,True,-5,FIXED-WIDTH,Begin/End columns; Remarks column only; Data Item naming,None,"Item, Data Item, Begin, End, Type, Length"
factorB2,12,False,True,True,False,False,False,True,False,True,-5,FIXED-WIDTH,Begin/End columns; Remarks column only; Data Item naming,None,"Item, Data Item, Begin, End, Type, Length"
hdailyllmni,13,False,True,True,False,False,False,True,False,True,-5,FIXED-WIDTH,Begin/End columns; Remarks column only; Data Item naming,None,"Item, Data Item, Begin, End, Type, Length"
hllmon1,13,False,True,True,False,False,False,True,False,True,-5,FIXED-WIDTH,Begin/End columns; Remarks column only; Data Item naming,None,"Item, Data Item, Begin, End, Type, Length"
hllmon2,13,False,True,True,False,False,False,True,False,True,-5,FIXED-WIDTH,Begin/End columns; Remarks column only; Data Item naming,None,"Item, Data Item, Begin, End, Type, Length"
issrinfo,12,False,True,True,False,False,False,True,False,True,-5,FIXED-WIDTH,Begin/End columns; Remarks column only; Data Item naming,None,"Item, Data Item, Begin, End, Type, Length"
issuers,12,False,True,True,False,False,False,True,False,True,-5,FIXED-WIDTH,Begin/End columns; Remarks column only; Data Item naming,None,"Item, Data Item, Begin, End, Type, Length"
liqloanot,13,False,True,True,False,False,False,True,False,True,-5,FIXED-WIDTH,Begin/End columns; Remarks column only; Data Item naming,None,"Item, Data Item, Begin, End, Type, Length"
liqloanqtr,13,False,True,True,False,False,False,True,False,True,-5,FIXED-WIDTH,Begin/End columns; Remarks column only; Data Item naming,None,"Item, Data Item, Begin, End, Type, Length"
llmon1,13,False,True,True,False,False,False,True,False,True,-5,FIXED-WIDTH,Begin/End columns; Remarks column only; Data Item naming,None,"Item, Data Item, Begin, End, Type, Length"
llmon2,13,False,True,True,False,False,False,True,False,True,-5,FIXED-WIDTH,Begin/End columns; Remarks column only; Data Item naming,None,"Item, Data Item, Begin, End, Type, Length"
llmonforb,13,False,True,True,False,False,False,True,False,True,-5,FIXED-WIDTH,Begin/End columns; Remarks column only; Data Item naming,None,"Item, Data Item, Begin, End, Type, Length"
monthly,13,False,True,True,False,False,False,True,False,True,-5,FIXED-WIDTH,Begin/End columns; Remarks column only; Data Item naming,None,"Item, Data Item, Begin, End, Type, Length"
nissues,13,False,True,True,False,False,False,True,False,True,-5,FIXED-WIDTH,Begin/End columns; Remarks column only; Data Item naming,None,"Item, Data Item, Begin, End, Type, Length"
ptermmon,13,False,True,True,False,False,False,True,False,True,-5,FIXED-WIDTH,Begin/End columns; Remarks column only; Data Item naming,None,"Item, Data Item, Begin, End, Type, Length"
ptermot,13,False,True,True,False,False,False,True,False,True,-5,FIXED-WIDTH,Begin/End columns; Remarks column only; Data Item naming,None,"Item, Data Item, Begin, End, Type, Length"
ptermplatot,13,False,True,True,False,False,False,True,False,True,-5,FIXED-WIDTH,Begin/End columns; Remarks column only; Data Item naming,None,"Item, Data Item, Begin, End, Type, Length"
