Prefix,Files_Count,Coverage_Start,Coverage_End,Total_Months_Expected,Total_Months_Covered,Total_Months_Missing,Coverage_Percentage,Gap_Periods,Has_Gaps
dailyllmni,5,2013-09-01,2025-08-10,144,144,0,100.0,None,False
hdailyllmni,6,2014-07-01,2025-08-10,134,134,0,100.0,None,False
hllmon1,8,2013-07-01,2025-08-10,146,146,0,100.0,None,False
hllmon2,7,2013-07-01,2025-08-10,146,146,0,100.0,None,False
hmonthlyPS,1,2024-04-01,2025-08-10,17,17,0,100.0,None,False
hmonthlyS,2,2024-04-01,2025-08-10,17,17,0,100.0,None,False
hplatmonPS,1,2024-12-01,2025-08-10,9,9,0,100.0,None,False
hplatmonS,1,2024-12-01,2025-08-10,9,9,0,100.0,None,False
liqloanqtr,3,2014-09-01,2025-08-10,132,132,0,100.0,None,False
llmon1,5,2013-10-01,2025-08-10,143,143,0,100.0,None,False
llmon2,5,2013-10-01,2025-08-10,143,143,0,100.0,None,False
llmonforb,1,2021-12-01,2025-08-10,45,45,0,100.0,None,False
llmonliq,3,2018-09-01,2025-08-10,84,84,0,100.0,None,False
LoanPerfAnn,1,2024-01-01,2025-08-10,20,20,0,100.0,None,False
LoanPerf,1,2023-07-01,2025-08-10,26,26,0,100.0,None,False
mfpldailymni2,1,2021-08-01,2022-01-01,6,6,0,100.0,None,False
mfpldailymni3,3,2022-05-01,2025-08-10,40,40,0,100.0,None,False
mfplmon3,3,2022-05-01,2025-08-10,40,40,0,100.0,None,False
monthlySFPS,9,2020-05-01,2025-08-10,64,64,0,100.0,None,False
monthlySFS,9,2020-05-01,2025-08-10,64,64,0,100.0,None,False
monthly,5,2012-09-01,2020-10-01,98,98,0,100.0,None,False
nimonSFPS,9,2020-05-01,2025-08-10,64,64,0,100.0,None,False
nimonSFS,9,2020-05-01,2025-08-10,64,64,0,100.0,None,False
nissues,5,2012-09-01,2020-10-01,98,98,0,100.0,None,False
platmonPPS,4,2021-10-01,2025-08-10,47,47,0,100.0,None,False
platmonPS,4,2021-10-01,2025-08-10,47,47,0,100.0,None,False
plmonforb,3,2020-05-01,2025-08-10,64,64,0,100.0,None,False
ptermmon,2,2017-04-01,2025-08-10,101,101,0,100.0,None,False
