Item,Data Item,Begin,End,Type,Length,Remarks
1,Pool Number,1,6,Character,6,X(6)
2,Pool Indicator,7,7,Character,1,X
3,Issuer Number,8,11,Numeric,4,9(4)
4,Filler,12,12,Character,1,X
5,Issuer Name,13,72,Character,60,X(60)
6,Original Aggregate Amount,73,87,Numeric,15,9(13)v9(2)
7,Remaining Security RPB,88,102,Numeric,15,9(13)v9(2)
8,RPB Factor,103,111,Numeric,9,9(1)v9(8)
9,Pool Interest Rate,112,116,Numeric,5,9(2)v9(3)
10,Pool Type,117,118,Character,2,X(2)
11,Pool Issue Date (MMDDYY),119,124,Numeric,6,9(6)
12,Pool Maturity Date (MMDDYY),125,130,Numeric,6,9(6)
13,Filler,131,162,Character,32,X(32)
14,CUSIP Number,163,171,Character,9,X(9)
